2	25	5	5	1
2,2	339	66	66	13
3	49	7	7	1
2,2,2	4778	919	919	177
2,3	930	177	130	25
3,2	930	130	177	25
4	81	9	9	1
2,2,2,2	68314	13103	13103	2515
2,2,3	13459	2569	1857	355
2,3,2	18308	3445	3445	649
2,4	1993	372	218	41
3,2,2	13459	1857	2569	355
3,3	3325	455	455	63
4,2	1993	218	372	41
5	121	11	11	1
2,2,2,2,2	981085	187965	187965	36021
2,2,2,3	194232	37168	26714	5116
2,2,3,2	268886	51195	50476	9616
2,2,4	29515	5603	3192	607
2,3,2,2	268886	50476	51195	9616
2,3,3	67371	12567	9095	1699
2,4,2	50442	9335	9335	1729
2,5	3672	675	330	61
3,2,2,2	194232	26714	37168	5116
3,2,3	38469	5263	5263	721
3,3,2	67371	9095	12567	1699
3,4	8868	1188	953	129
4,2,2	29515	3192	5603	607
4,3	8868	953	1188	129
5,2	3672	330	675	61
6	169	13	13	1
2,2,2,2,2,2	14115141	2703074	2703074	517701
2,2,2,2,3	2798827	535714	384433	73606
2,2,2,3,2	3897785	745037	730949	139748
2,2,2,4	429025	81940	46245	8839
2,2,3,2,2	3966217	754348	754348	143509
2,2,3,3	1000708	190088	134688	25604
2,2,4,2	756373	143257	139748	26479
2,2,5	55466	10481	4940	935
2,3,2,2,2	3897785	730949	745037	139748
2,3,2,3	776258	145399	105928	19855
2,3,3,2	1386842	258095	258095	48055
2,3,4	184328	34164	19557	3630
2,4,2,2	756373	139748	143257	26479
2,4,3	230231	42297	30485	5607
2,5,2	113856	20797	20797	3801
2,6	6111	1110	466	85
3,2,2,2,2	2798827	384433	535714	73606
3,2,2,3	555249	76165	76165	10457
3,2,3,2	776258	105928	145399	19855
3,2,4	85394	11620	9158	1248
3,3,2,2	1000708	134688	190088	25604
3,3,3	253155	33807	33807	4523
3,4,2	230231	30485	42297	5607
3,5	19671	2585	1743	231
4,2,2,2	429025	46245	81940	8839
4,2,3	85394	9158	11620	1248
4,3,2	184328	19557	34164	3630
4,4	28559	3012	3012	321
5,2,2	55466	4940	10481	935
5,3	19671	1743	2585	231
6,2	6111	466	1110	85
7	225	15	15	1
2,2,2,2,2,2,2	203235615	38911979	38911979	7450561
2,2,2,2,2,3	40324664	7719061	5535680	1059809
2,2,2,2,3,2	56272101	10765690	10547932	2018189
2,2,2,2,4	6199201	1185603	667322	127667
2,2,2,3,2,2	57601845	11005417	10950244	2092389
2,2,2,3,3	14561179	2780476	1957147	373838
2,2,2,4,2	11040885	2106598	2038335	388983
2,2,2,5	811497	154733	72045	13747
2,2,3,2,2,2	57601845	10950244	11005417	2092389
2,2,3,2,3	11493879	2183873	1566443	297727
2,2,3,3,2	20690821	3925807	3847152	730106
2,2,3,4	2762410	523618	292208	55431
2,2,4,2,2	11377368	2153157	2153157	407565
2,2,4,3	3488069	659228	460799	87140
2,2,5,2	1736735	327539	316879	59778
2,2,6	93817	17659	7104	1339
2,3,2,2,2,2	56272101	10547932	10765690	2018189
2,3,2,2,3	11182463	2094985	1531917	287085
2,3,2,3,2	15727825	2942857	2942857	550751
